CO(GT),NOx(GT),Time,T
2.3,132.0,13,21.4
2.4,136.0,14,20.4
2.6,140.0,15,19.9
1.2,55.0,16,19.9
1.6,67.0,17,19.5
3.9,191.0,18,18.3
4.7,227.0,19,17.2
5.4,264.0,20,16.1
3.0,196.0,21,16.6
0.9,43.0,22,18.5
1.1,58.0,23,17.3
0.7,33.0,00,18.6
0.5,14.0,01,19.0
0.5,18.0,02,15.7
0.8,56.0,05,14.6
1.3,108.0,06,14.5
3.5,251.0,07,15.1
3.9,255.0,09,16.4
2.9,214.0,10,16.3
2.6,190.0,11,17.2
3.0,182.0,12,17.4
3.7,202.0,13,16.8
3.9,224.0,14,17.3
3.5,221.0,15,17.5
2.4,126.0,16,17.5
1.6,79.0,17,17.7
3.0,137.0,18,17.1
1.6,68.0,19,17.5
2.1,96.0,20,15.9
1.8,111.0,21,15.1
1.1,56.0,22,13.9
1.5,81.0,23,12.0
1.4,79.0,00,12.5
0.9,46.0,01,12.0
0.5,19.0,02,12.6
0.6,48.0,05,13.2
1.3,128.0,06,13.1
2.9,193.0,07,14.7
3.6,203.0,08,15.9
3.4,220.0,09,17.9
2.5,161.0,10,20.2
2.1,135.0,11,18.5
1.1,57.0,12,13.0
1.8,91.0,13,15.1
3.0,219.0,14,13.6
3.1,239.0,15,12.3
3.6,209.0,16,12.7
3.3,169.0,17,14.4
1.8,92.0,18,15.6
2.1,107.0,19,15.0
2.2,122.0,20,13.7
1.6,100.0,21,12.3
0.9,51.0,22,15.4
1.8,93.0,23,14.1
2.3,145.0,00,13.8
2.0,106.0,01,13.5
0.9,46.0,02,13.7
0.7,51.0,05,14.6
1.5,89.0,06,14.3
3.7,214.0,07,14.9
4.2,196.0,08,16.4
3.4,224.0,09,16.0
2.4,174.0,10,18.6
1.3,90.0,11,19.7
1.5,89.0,12,21.2
2.2,132.0,13,19.7
1.8,114.0,14,19.8
1.9,107.0,15,19.2
2.3,140.0,16,14.2
3.6,187.0,17,12.9
4.3,222.0,18,12.7
2.2,117.0,19,13.9
1.5,89.0,20,13.9
2.0,130.0,21,13.4
2.0,133.0,22,13.4
2.1,144.0,23,13.3
1.5,99.0,00,13.3
2.2,102.0,01,13.6
0.5,27.0,02,14.6
4.4,257.0,09,17.8
2.5,178.0,10,20.0
2.1,145.0,11,20.3
2.4,137.0,12,20.7
2.2,139.0,13,20.8
2.2,130.0,14,21.5
2.3,148.0,15,25.0
2.1,120.0,16,25.2
2.5,132.0,17,23.4
3.6,188.0,18,21.0
4.0,204.0,19,19.2
3.0,167.0,20,17.7
2.1,128.0,21,16.8
1.7,106.0,22,15.8
1.1,88.0,23,16.0
0.9,77.0,00,14.2
0.4,36.0,01,15.0
0.2,28.0,02,14.3
0.6,55.0,05,12.0
1.4,135.0,06,11.3
4.6,327.0,07,12.7
5.5,383.0,08,14.5
4.8,366.0,09,17.5
4.5,322.0,10,21.9
3.0,188.0,11,23.5
2.5,144.0,12,24.3
2.3,132.0,13,23.8
2.0,117.0,14,24.2
1.9,121.0,15,26.5
1.9,124.0,16,25.7
3.5,188.0,17,26.3
4.6,226.0,18,24.4
6.3,266.0,19,23.1
5.0,269.0,20,21.1
3.3,183.0,21,19.2
2.7,167.0,22,18.1
2.2,138.0,23,17.3
1.7,105.0,00,16.9
0.8,54.0,01,17.6
0.8,58.0,02,15.6
0.8,84.0,05,14.0
1.5,134.0,06,14.5
4.1,279.0,07,15.5
5.9,333.0,08,17.0
5.1,336.0,09,18.8
3.9,280.0,10,19.7
3.4,275.0,11,20.9
3.3,207.0,12,21.9
5.1,305.0,13,20.4
3.1,236.0,14,17.4
2.5,183.0,15,17.1
2.4,162.0,16,17.3
2.8,157.0,17,17.7
2.9,136.0,18,17.4
3.4,166.0,19,17.6
2.2,136.0,20,16.7
1.6,112.0,21,16.8
1.3,87.0,22,16.1
1.3,86.0,23,15.5
1.6,98.0,00,16.2
1.2,62.0,01,16.4
0.6,32.0,02,16.2
0.4,41.0,05,16.2
1.0,86.0,06,15.9
2.0,174.0,07,16.2
3.6,264.0,08,16.0
2.4,211.0,09,16.6
2.4,208.0,10,17.4
1.6,139.0,11,17.6
1.9,138.0,12,17.2
2.4,142.0,13,18.2
1.7,131.0,14,19.5
2.1,132.0,15,19.5
3.1,178.0,16,19.8
4.6,228.0,17,20.3
4.5,232.0,18,20.3
3.9,204.0,19,19.8
4.6,250.0,20,19.1
3.3,208.0,21,18.2
2.7,158.0,22,17.8
3.3,197.0,23,17.5
2.5,152.0,00,17.3
2.1,112.0,01,16.8
1.3,75.0,02,16.3
1.2,116.0,05,16.0
1.5,118.0,06,17.2
3.7,272.0,07,18.5
3.3,258.0,09,21.0
2.5,186.0,10,22.8
1.9,130.0,11,25.5
2.0,134.0,12,25.9
2.5,148.0,13,27.7
2.1,147.0,14,27.1
2.1,123.0,15,28.4
2.3,138.0,16,28.1
3.0,162.0,17,27.6
4.1,214.0,18,25.2
4.5,230.0,19,24.6
3.5,191.0,20,23.1
2.1,128.0,21,22.0
2.3,138.0,22,20.8
1.9,126.0,23,20.4
1.9,107.0,00,19.1
1.2,67.0,01,18.0
1.0,55.0,02,17.4
0.5,33.0,05,15.7
0.6,41.0,06,15.3
1.4,106.0,07,16.0
2.6,208.0,08,17.6
2.8,193.0,09,20.3
2.6,191.0,10,23.1
1.6,113.0,11,25.0
1.7,111.0,12,25.6
1.7,106.0,13,25.5
1.3,82.0,14,26.1
1.4,79.0,15,28.2
1.4,90.0,16,27.4
1.7,104.0,17,26.0
2.3,148.0,18,23.8
2.5,158.0,19,23.0
3.3,234.0,20,21.7
2.2,163.0,21,20.9
1.6,95.0,22,20.2
2.6,146.0,23,19.6
2.3,102.0,00,18.1
1.5,90.0,01,17.0
0.9,41.0,02,16.7
0.4,32.0,05,13.5
0.4,34.0,06,14.2
0.8,57.0,07,13.8
0.9,73.0,08,16.3
1.6,119.0,09,19.2
2.0,138.0,10,25.5
1.6,96.0,11,28.2
1.4,80.0,12,29.5
0.9,45.0,13,30.6
0.9,45.0,14,29.9
1.2,54.0,15,31.5
1.4,66.0,16,31.2
1.9,95.0,17,30.4
1.8,99.0,18,26.8
2.7,147.0,19,25.5
2.4,129.0,20,23.7
1.6,96.0,21,22.9
1.4,92.0,22,20.8
1.4,88.0,23,20.3
1.4,89.0,00,19.6
0.9,52.0,01,19.1
0.5,25.0,02,18.4
0.5,65.0,05,15.8
1.3,132.0,06,16.0
2.6,216.0,07,17.6
2.0,180.0,08,18.5
1.8,140.0,09,19.8
1.7,141.0,10,22.3
1.5,123.0,11,24.2
1.9,129.0,12,25.1
1.7,115.0,13,25.8
1.5,104.0,14,26.3
1.7,129.0,15,25.8
1.7,138.0,16,25.7
2.4,135.0,17,26.7
3.1,163.0,18,24.3
3.4,180.0,19,23.5
3.0,170.0,20,22.0
1.2,72.0,21,21.1
1.2,69.0,22,20.9
1.3,79.0,23,20.2
1.0,53.0,00,20.0
0.4,36.0,01,20.8
0.3,30.0,02,20.0
0.5,38.0,05,17.0
0.9,68.0,06,17.1
2.7,192.0,07,17.1
6.5,346.0,08,18.8
3.2,225.0,09,20.3
2.4,199.0,10,25.3
1.9,140.0,11,27.4
2.7,162.0,12,30.0
2.9,173.0,13,30.9
2.0,121.0,14,30.6
2.3,133.0,15,32.2
1.9,96.0,16,31.7
3.0,141.0,17,30.9
4.4,221.0,18,27.5
4.7,232.0,19,25.8
3.4,174.0,20,23.7
2.4,138.0,21,22.2
1.2,65.0,22,21.1
1.7,107.0,23,20.2
1.2,70.0,00,19.3
0.7,44.0,01,19.2
0.5,41.0,02,18.4
0.3,32.0,05,17.0
0.7,46.0,06,16.4
3.1,173.0,07,16.4
6.2,320.0,08,18.6
4.6,294.0,09,21.0
2.6,182.0,10,26.4
2.1,154.0,11,27.7
2.0,118.0,12,30.1
2.2,116.0,13,31.0
2.1,121.0,14,31.0
2.3,116.0,15,31.6
2.5,144.0,16,30.4
3.4,176.0,17,28.8
4.3,214.0,18,26.4
3.8,191.0,19,24.7
3.8,205.0,20,22.9
2.0,110.0,21,20.8
1.7,95.0,22,19.7
2.0,126.0,23,18.9
1.5,90.0,00,18.5
0.8,48.0,01,18.0
0.5,38.0,02,18.4
0.3,26.0,05,17.3
0.9,83.0,06,15.8
2.8,188.0,07,16.6
5.4,253.0,08,18.7
4.0,149.0,09,20.7
2.2,155.0,10,26.1
2.2,146.0,11,28.6
2.0,121.0,12,30.3
2.0,111.0,13,31.3
1.9,116.0,14,31.1
2.7,167.0,15,32.4
2.2,145.0,16,32.6
3.5,192.0,17,31.2
4.1,231.0,18,27.7
4.4,248.0,19,25.7
4.5,267.0,20,24.1
2.9,181.0,21,22.2
2.6,163.0,22,20.7
2.1,141.0,23,20.2
1.2,78.0,00,20.5
0.6,42.0,01,20.1
0.3,35.0,02,20.0
0.3,38.0,05,16.4
0.7,65.0,06,14.9
4.2,296.0,07,16.4
4.8,303.0,08,18.2
3.4,244.0,09,20.7
2.8,216.0,10,26.5
1.8,137.0,11,28.5
1.9,120.0,12,29.7
2.0,100.0,13,31.7
1.9,103.0,14,31.7
2.0,123.0,15,32.8
2.3,136.0,16,32.5
2.7,158.0,17,30.2
3.6,216.0,18,27.6
3.8,211.0,19,25.9
3.5,202.0,20,23.9
2.5,147.0,21,22.3
2.5,160.0,22,20.5
3.0,162.0,23,19.8
3.7,194.0,00,19.1
3.3,167.0,01,17.8
1.5,91.0,02,17.6
0.5,50.0,05,15.8
0.5,61.0,06,16.5
1.2,107.0,07,17.2
2.2,139.0,08,19.3
2.2,165.0,09,20.6
2.1,139.0,10,23.7
1.8,113.0,11,25.6
2.2,138.0,12,27.2
2.0,104.0,13,27.9
1.4,78.0,14,28.3
1.8,97.0,15,29.2
2.1,115.0,16,28.9
2.8,152.0,17,25.4
2.8,157.0,18,25.2
2.7,132.0,19,24.5
1.8,98.0,20,22.3
1.2,65.0,21,21.2
2.6,101.0,22,20.6
3.1,134.0,23,20.2
4.1,177.0,00,19.8
3.6,179.0,01,19.5
1.9,105.0,02,19.0
0.3,27.0,05,17.7
0.4,41.0,06,17.9
0.8,78.0,07,18.9
0.8,68.0,08,20.0
0.8,64.0,09,20.6
0.8,67.0,10,23.6
0.9,54.0,11,26.7
1.2,67.0,12,26.8
1.0,51.0,13,27.7
0.8,28.0,14,28.8
1.1,51.0,15,26.8
1.5,77.0,16,25.9
1.5,93.0,17,25.8
1.4,94.0,18,24.8
1.1,69.0,19,25.3
0.9,57.0,20,23.9
1.0,74.0,21,21.4
1.1,75.0,22,20.5
1.0,73.0,23,19.2
0.7,56.0,00,19.2
0.5,31.0,01,17.2
0.2,13.0,02,15.8
0.1,23.0,05,16.1
0.5,72.0,06,16.5
1.6,165.0,07,17.5
2.0,118.0,08,18.4
1.3,85.0,09,19.2
1.0,116.0,10,21.7
0.9,112.0,11,22.3
1.2,100.0,12,22.8
1.3,109.0,13,23.8
1.1,111.0,14,25.1
1.2,109.0,15,25.8
1.4,114.0,16,25.5
2.0,139.0,17,24.5
2.4,157.0,18,22.6
2.1,147.0,19,21.2
1.2,102.0,20,19.1
0.7,73.0,21,18.4
0.7,65.0,22,17.3
0.8,76.0,23,16.5
0.5,65.0,00,16.7
0.2,41.0,01,15.5
0.1,45.0,05,11.6
0.2,40.0,06,13.4
1.1,101.0,07,15.2
3.0,183.0,08,16.3
2.1,149.0,09,19.2
2.6,207.0,10,24.9
3.2,289.0,11,28.3
2.1,159.0,12,29.2
2.2,162.0,13,31.6
2.4,173.0,14,32.6
2.2,188.0,10,26.1
1.8,159.0,11,28.8
1.6,146.0,12,29.6
1.8,127.0,13,31.6
1.6,128.0,14,32.3
1.6,120.0,15,31.8
1.3,115.0,16,31.8
1.7,133.0,15,29.6
1.7,131.0,16,28.0
2.1,133.0,17,23.6
2.2,141.0,18,21.5
1.8,112.0,19,22.1
1.8,147.0,20,20.2
0.9,104.0,21,20.0
1.0,97.0,22,19.8
2.0,128.0,23,19.6
1.8,138.0,00,19.3
1.1,93.0,01,18.5
0.6,71.0,02,18.0
0.1,41.0,06,17.9
0.5,84.0,07,18.4
0.6,77.0,08,18.9
0.5,73.0,09,19.2
0.7,72.0,10,20.8
0.7,77.0,11,21.3
0.9,82.0,12,21.8
0.7,67.0,13,22.8
0.4,59.0,14,22.9
0.5,61.0,15,22.9
0.6,76.0,16,23.8
0.6,73.0,17,23.2
0.8,87.0,18,22.4
1.0,98.0,19,21.7
1.2,123.0,20,20.8
1.0,102.0,21,20.1
1.3,102.0,22,19.5
2.7,142.0,23,19.0
2.7,148.0,00,18.5
1.6,107.0,01,17.8
0.6,61.0,02,19.2
0.1,25.0,05,17.2
0.1,32.0,06,17.3
0.2,48.0,07,18.6
0.3,60.0,08,20.2
0.3,52.0,09,22.0
0.4,58.0,10,25.5
0.3,54.0,11,27.5
0.3,52.0,12,28.7
0.1,34.0,13,29.1
0.1,41.0,14,29.8
0.2,41.0,15,32.0
0.6,65.0,16,30.3
0.5,65.0,17,31.7
0.9,84.0,18,29.2
1.1,89.0,19,27.4
1.3,114.0,20,25.0
1.5,127.0,21,23.6
1.2,117.0,22,22.3
0.4,46.0,23,21.4
0.2,16.0,00,20.6
0.3,27.0,01,19.7
0.5,82.0,06,16.6
1.6,167.0,07,17.4
3.6,248.0,08,19.3
2.2,213.0,09,20.9
1.6,161.0,10,25.6
1.4,144.0,11,28.9
1.4,127.0,12,30.3
1.5,116.0,13,30.9
1.3,124.0,14,30.5
1.2,115.0,15,30.7
1.8,150.0,16,28.1
3.0,221.0,17,26.9
3.5,227.0,18,26.0
2.4,156.0,19,24.5
1.1,97.0,20,21.7
0.8,78.0,21,19.3
0.4,60.0,22,17.6
0.6,61.0,23,17.8
0.3,46.0,00,18.6
0.1,39.0,05,16.8
0.3,107.0,06,17.3
1.4,190.0,07,16.9
2.7,236.0,08,17.1
2.3,227.0,09,18.5
1.8,211.0,10,19.6
1.6,201.0,11,20.4
1.9,191.0,12,21.6
2.5,192.0,13,24.0
1.6,143.0,14,25.7
1.5,148.0,15,24.6
2.5,183.0,16,24.8
3.6,216.0,17,23.7
3.5,184.0,18,23.0
4.8,248.0,19,21.5
3.7,221.0,20,21.0
2.1,159.0,21,20.6
1.6,136.0,22,20.5
2.2,168.0,23,20.2
0.8,95.0,00,19.5
0.7,37.0,04,19.6
0.7,57.0,05,19.3
1.2,131.0,06,19.7
1.5,171.0,07,19.8
1.5,187.0,08,20.9
1.6,133.0,09,22.4
1.1,87.0,10,24.1
1.1,61.0,11,25.9
1.4,86.0,12,30.7
1.4,83.0,13,30.3
1.0,61.0,14,30.1
1.3,80.0,15,27.6
1.9,110.0,16,26.6
1.7,108.0,17,30.4
2.3,134.0,18,27.8
2.4,133.0,19,26.6
1.8,118.0,20,23.4
0.6,17.0,21,23.0
0.8,26.0,22,22.1
1.7,55.0,23,21.6
1.1,39.0,00,21.9
0.6,15.0,01,21.3
1.1,47.0,02,17.5
1.0,49.0,04,17.1
0.5,21.0,05,16.6
0.7,33.0,06,16.8
1.0,63.0,07,18.3
1.2,73.0,08,20.4
0.7,51.0,09,21.6
0.9,61.0,10,23.1
0.8,52.0,11,25.4
0.8,49.0,12,26.6
0.5,40.0,13,25.9
0.5,36.0,14,27.0
0.7,51.0,15,23.6
0.9,56.0,16,25.9
1.0,71.0,17,26.3
1.2,79.0,18,23.9
1.3,117.0,19,23.7
1.6,127.0,20,22.5
1.4,118.0,21,21.8
1.7,130.0,22,20.9
1.7,131.0,23,20.0
1.4,102.0,00,19.3
0.8,48.0,01,18.7
0.4,22.0,02,17.8
0.5,44.0,05,18.2
1.5,167.0,06,17.3
2.6,220.0,07,19.9
4.3,285.0,08,21.7
3.1,272.0,09,23.5
2.9,238.0,10,28.4
2.5,207.0,11,31.6
1.9,152.0,12,31.3
2.5,185.0,13,34.4
2.5,184.0,14,33.7
2.8,205.0,15,35.9
2.3,172.0,16,34.3
3.3,227.0,17,33.5
2.8,187.0,18,30.5
4.8,290.0,19,30.3
2.5,155.0,20,27.0
2.0,108.0,21,24.6
1.8,94.0,22,23.3
1.7,103.0,23,22.4
1.3,78.0,00,21.7
0.7,38.0,01,21.0
0.5,26.0,02,20.5
0.3,19.0,04,21.0
0.5,35.0,05,19.6
1.4,126.0,06,18.2
3.3,309.0,07,19.5
5.8,376.0,08,21.6
5.0,441.0,09,23.9
3.5,309.0,10,28.1
2.9,220.0,11,31.4
2.5,168.0,12,33.7
2.3,149.0,13,35.9
2.4,160.0,14,37.5
2.6,177.0,15,37.7
3.5,176.0,17,36.6
3.9,202.0,18,32.5
4.5,255.0,19,30.8
3.8,210.0,20,28.8
2.8,157.0,21,26.7
1.7,96.0,22,25.3
1.2,59.0,23,24.9
1.6,81.0,00,23.7
1.0,40.0,01,22.5
0.9,42.0,02,22.3
0.5,31.0,04,20.8
0.5,54.0,05,20.3
1.0,88.0,06,20.5
3.5,261.0,07,21.7
6.4,357.0,08,23.4
2.9,265.0,09,25.1
3.4,247.0,10,30.1
2.8,189.0,11,34.7
2.8,168.0,12,37.2
2.8,183.0,13,39.5
2.3,157.0,14,40.6
1.8,113.0,15,40.3
2.0,140.0,16,40.3
3.5,230.0,17,39.6
4.9,277.0,18,37.3
4.6,295.0,19,33.7
3.4,212.0,20,30.7
2.7,151.0,21,28.4
1.9,110.0,22,26.5
1.5,83.0,23,25.4
1.0,48.0,00,24.1
0.7,27.0,01,23.9
1.0,48.0,02,22.0
0.9,75.0,05,19.5
1.2,101.0,06,20.0
2.9,214.0,07,21.7
4.8,290.0,08,23.7
4.3,311.0,09,25.9
3.1,234.0,10,30.1
2.4,157.0,11,33.5
2.8,165.0,12,35.4
2.5,137.0,13,37.9
2.6,149.0,14,39.7
2.3,140.0,15,40.4
2.4,139.0,16,40.0
3.5,221.0,17,38.9
4.8,318.0,18,35.8
5.1,363.0,19,33.1
4.7,341.0,20,30.9
2.4,163.0,21,27.5
2.5,157.0,22,26.3
2.7,202.0,23,25.5
1.5,102.0,00,24.7
1.1,70.0,01,24.2
0.6,41.0,02,24.8
0.4,36.0,04,22.0
0.6,68.0,05,19.3
1.0,92.0,06,19.8
4.6,332.0,07,20.5
4.8,333.0,08,22.8
4.0,298.0,09,25.6
2.0,146.0,11,34.4
2.0,120.0,12,35.9
2.0,108.0,13,37.2
1.9,109.0,14,37.3
1.9,124.0,15,37.4
1.9,127.0,16,36.4
2.6,185.0,17,35.4
3.2,230.0,18,34.2
3.4,265.0,19,31.1
3.4,261.0,20,29.1
2.9,219.0,21,27.2
2.7,180.0,22,25.3
1.3,108.0,23,24.9
1.3,98.0,00,23.5
0.9,57.0,01,23.5
0.6,36.0,02,24.1
0.5,45.0,04,20.8
0.9,87.0,05,18.8
0.7,62.0,06,19.8
0.6,65.0,07,21.3
1.3,125.0,08,21.3
1.9,157.0,09,24.0
2.1,171.0,10,27.2
1.8,119.0,11,32.3
1.8,110.0,12,31.9
1.6,95.0,13,35.1
1.2,58.0,14,36.0
1.2,69.0,15,37.0
1.4,76.0,16,36.4
1.3,63.0,17,35.2
1.1,51.0,18,32.5
1.1,46.0,19,29.1
1.1,52.0,20,26.9
1.8,84.0,21,26.1
2.3,130.0,22,25.5
2.6,147.0,23,24.9
2.0,126.0,00,25.2
1.0,47.0,01,25.4
0.6,24.0,02,26.2
0.5,25.0,04,24.4
0.4,21.0,05,23.3
0.4,25.0,06,21.6
0.4,25.0,07,21.4
0.4,30.0,08,20.5
0.5,42.0,09,20.8
0.6,52.0,10,22.3
0.7,62.0,11,21.7
0.7,67.0,12,24.4
0.6,47.0,13,23.4
0.5,35.0,14,23.5
0.6,45.0,15,22.4
0.8,53.0,16,22.0
0.8,57.0,17,21.7
1.0,71.0,18,20.7
1.0,67.0,19,20.3
1.0,75.0,20,20.3
0.9,65.0,21,20.1
0.7,45.0,22,19.8
0.8,46.0,23,19.6
0.7,33.0,00,19.4
0.5,19.0,01,19.7
0.3,9.0,02,19.5
0.3,21.0,05,19.1
0.7,66.0,06,20.3
1.5,137.0,07,21.1
1.8,151.0,08,21.5
1.4,115.0,09,22.4
1.5,118.0,10,24.8
1.2,95.0,11,23.9
1.2,86.0,12,25.5
1.3,85.0,13,25.4
1.0,66.0,14,25.6
1.4,74.0,15,24.5
1.6,108.0,16,23.9
2.7,150.0,17,24.2
2.3,157.0,18,23.5
1.5,93.0,19,22.3
1.4,76.0,20,21.7
1.0,57.0,21,22.0
1.1,64.0,22,22.2
1.2,59.0,23,21.8
1.2,68.0,00,21.6
0.7,31.0,01,21.6
0.5,21.0,02,20.7
0.4,24.0,04,20.8
0.5,38.0,05,20.8
1.0,92.0,06,19.9
4.4,311.0,07,20.9
4.0,260.0,08,23.7
2.4,181.0,09,25.3
2.1,177.0,10,28.8
2.7,180.0,11,30.3
2.8,174.0,12,32.8
2.3,140.0,13,33.9
2.0,122.0,14,35.3
2.6,189.0,15,34.0
2.7,169.0,16,35.3
3.1,172.0,17,32.6
3.1,154.0,18,30.8
3.6,192.0,19,28.7
2.9,160.0,20,26.8
2.2,110.0,21,25.3
2.0,97.0,22,23.9
2.1,124.0,23,23.0
1.9,108.0,00,22.2
1.4,61.0,01,20.9
0.8,34.0,02,21.3
0.6,24.0,04,20.3
0.5,27.0,05,21.3
1.0,70.0,06,20.6
2.7,176.0,07,21.3
5.0,310.0,08,22.9
3.3,221.0,09,24.1
2.4,168.0,10,27.1
1.7,109.0,11,28.4
1.7,102.0,12,30.1
2.4,129.0,13,32.7
2.2,117.0,14,32.4
2.2,112.0,15,33.6
2.3,122.0,16,33.0
2.6,114.0,17,33.2
2.3,111.0,18,31.3
3.3,158.0,19,28.3
3.5,202.0,20,26.5
2.5,166.0,21,24.4
2.5,143.0,22,23.3
2.4,122.0,23,22.5
2.5,113.0,00,21.8
2.1,109.0,01,20.9
1.0,53.0,02,20.8
0.5,35.0,05,20.2
1.3,123.0,06,18.3
3.6,254.0,07,20.2
4.8,300.0,08,21.9
3.7,281.0,09,25.2
1.9,169.0,10,28.0
1.7,152.0,11,27.1
1.9,127.0,12,27.4
1.8,118.0,13,29.4
1.7,120.0,14,31.3
1.8,125.0,15,31.5
1.7,117.0,16,30.9
2.8,166.0,17,31.4
3.6,180.0,18,30.7
3.3,172.0,19,29.0
2.9,160.0,20,27.3
1.7,103.0,21,25.8
1.7,87.0,22,25.2
2.8,147.0,23,24.6
1.8,120.0,00,24.0
1.0,63.0,01,23.5
0.5,30.0,02,24.0
0.3,19.0,04,22.8
0.4,27.0,05,21.9
0.8,65.0,06,20.4
2.2,169.0,07,20.8
4.4,244.0,08,22.8
3.7,274.0,09,25.2
2.5,202.0,10,29.3
2.5,186.0,11,33.3
2.3,153.0,12,34.9
2.0,112.0,13,36.1
2.0,117.0,14,37.6
2.1,109.0,15,37.3
2.4,133.0,16,37.2
3.1,185.0,17,35.6
2.9,167.0,18,33.1
3.5,218.0,19,30.5
2.9,171.0,20,28.7
1.5,78.0,21,26.6
1.7,84.0,22,25.2
2.2,110.0,23,24.7
1.6,87.0,00,24.4
1.0,58.0,01,23.3
0.6,39.0,02,23.8
0.6,38.0,04,21.2
0.5,41.0,05,21.7
0.5,47.0,06,22.8
0.9,72.0,07,23.5
1.4,100.0,08,24.6
1.6,104.0,09,27.0
1.6,109.0,10,29.3
1.7,103.0,11,31.2
1.7,75.0,12,34.4
1.5,72.0,13,36.1
0.3,15.0,04,18.9
0.5,52.0,05,18.2
1.3,85.0,06,18.6
2.5,177.0,07,20.8
3.7,232.0,08,23.3
2.5,201.0,09,25.1
1.8,134.0,10,27.8
1.5,104.0,11,29.6
1.5,89.0,12,30.2
1.2,66.0,13,30.1
1.4,85.0,14,29.5
1.6,105.0,15,31.1
1.6,99.0,16,30.3
2.2,132.0,17,30.1
3.0,186.0,18,28.6
3.0,174.0,19,26.1
2.7,149.0,20,24.5
2.1,114.0,21,23.1
1.6,92.0,22,21.8
1.3,75.0,23,20.9
1.1,74.0,00,20.5
0.7,35.0,01,20.0
0.4,22.0,02,22.1
0.2,24.0,04,19.8
0.3,30.0,05,19.0
0.9,93.0,06,17.8
3.1,332.0,07,18.2
5.0,387.0,08,20.6
2.8,267.0,09,22.8
2.8,269.0,10,27.1
2.1,193.0,11,30.4
3.1,239.0,12,31.1
3.0,232.0,13,31.4
2.1,152.0,14,30.8
1.7,115.0,15,31.8
2.2,169.0,16,33.5
3.5,226.0,17,33.1
3.6,218.0,18,31.7
4.1,245.0,19,29.0
4.0,236.0,20,27.4
1.8,104.0,21,25.2
1.7,104.0,22,24.0
2.4,144.0,23,23.8
1.2,79.0,00,22.9
0.8,51.0,01,22.8
0.5,38.0,02,21.8
0.4,30.0,05,21.7
1.0,73.0,06,20.3
3.8,305.0,07,20.5
3.2,295.0,08,21.7
3.5,331.0,09,24.0
3.2,304.0,10,28.5
2.3,210.0,11,32.2
2.2,163.0,12,34.9
2.1,132.0,13,35.4
1.9,126.0,14,34.4
2.4,150.0,15,34.8
2.5,171.0,16,34.3
3.6,234.0,17,32.5
3.9,251.0,18,31.3
4.4,294.0,19,30.2
4.8,300.0,20,28.5
2.5,159.0,21,27.3
2.8,176.0,22,26.1
3.2,192.0,23,24.7
2.6,152.0,00,23.6
1.5,63.0,01,23.3
1.0,35.0,02,23.3
0.6,21.0,04,23.7
0.6,41.0,05,21.2
0.7,48.0,06,22.1
1.2,102.0,07,21.9
1.5,111.0,08,24.7
1.3,93.0,09,27.0
1.6,118.0,10,29.1
1.5,93.0,11,31.1
1.2,56.0,12,31.9
1.1,51.0,13,32.8
1.2,52.0,14,33.4
1.3,59.0,15,35.3
1.4,62.0,16,35.8
1.6,85.0,17,35.3
2.1,109.0,18,33.3
3.0,168.0,19,30.3
2.8,166.0,20,28.3
3.8,149.0,21,27.1
3.2,118.0,22,25.4
4.1,160.0,23,24.6
2.6,124.0,00,23.7
2.0,95.0,01,23.0
0.9,34.0,02,24.8
0.6,45.0,04,21.7
0.6,35.0,05,21.9
1.6,141.0,06,20.1
2.6,199.0,07,21.5
2.9,224.0,08,22.9
2.8,245.0,09,25.7
1.9,153.0,10,29.9
1.9,145.0,11,32.9
2.1,130.0,12,34.0
1.9,95.0,13,34.7
1.6,88.0,14,35.5
1.6,89.0,15,35.9
2.1,127.0,16,36.2
2.4,149.0,17,35.4
2.8,170.0,18,32.9
3.4,210.0,19,29.9
3.4,230.0,20,28.1
2.7,203.0,21,26.1
2.6,174.0,22,25.0
2.3,164.0,23,24.3
1.2,76.0,00,24.0
1.0,52.0,01,22.4
0.9,47.0,02,21.2
0.4,41.0,05,19.5
0.9,74.0,06,18.6
1.8,168.0,07,19.7
2.2,176.0,08,21.9
2.4,184.0,09,24.5
2.3,187.0,10,30.0
1.6,118.0,11,34.5
1.4,89.0,12,36.3
1.4,70.0,13,37.7
1.0,51.0,14,38.3
1.0,52.0,15,38.4
1.2,70.0,16,37.2
1.3,80.0,17,34.0
1.5,90.0,18,32.3
1.9,111.0,19,30.5
1.8,107.0,20,29.2
1.4,73.0,21,28.4
1.7,75.0,22,27.7
2.7,144.0,23,27.2
2.1,120.0,00,26.5
1.4,71.0,01,25.5
1.0,40.0,02,25.2
0.8,34.0,04,23.2
0.5,27.0,05,24.0
0.6,30.0,06,23.5
0.6,40.0,07,23.5
1.0,56.0,08,24.7
1.6,104.0,09,27.2
1.9,121.0,10,31.0
1.7,100.0,11,35.2
1.1,59.0,12,37.8
0.8,42.0,13,39.0
0.7,38.0,14,41.3
0.7,40.0,15,41.8
1.2,70.0,16,42.2
1.6,95.0,17,41.4
1.6,90.0,18,38.9
1.7,90.0,19,34.3
2.0,111.0,20,32.7
2.3,135.0,21,30.5
2.4,146.0,22,29.0
1.7,100.0,23,28.2
1.2,69.0,00,27.2
1.0,47.0,01,26.7
0.6,26.0,02,26.0
